Country,WeightPerCountry,WeightEurope,Gender,Question
Germany,0.99,2.2,Man,Strongly agree
Germany,0.85,1.89,Man,Neither agree nor disagree
Germany,1.01,2.24,Man,Neither agree nor disagree
Italy,0.98,1.59,Man,Strongly disagree
Belgium,1.01,0.27,Man,Disagree
Germany,0.99,2.2,Man,Neither agree nor disagree
Poland,1.03,1.04,Man,Strongly agree
Poland,1.02,1.03,Woman,Strongly agree
Poland,0.96,0.97,Woman,Disagree
Italy,1,1.61,Woman,Strongly disagree
Belgium,0.99,0.27,Man,Agree
Spain,0.9,1.1,Woman,Agree
Germany,0.99,2.21,Man,Neither agree nor disagree
Spain,0.99,1.21,Woman,Strongly disagree
Italy,0.94,1.52,Man,Neither agree nor disagree
Poland,0.95,0.96,Woman,Agree
Italy,0.89,1.44,Man,Agree
France,0.96,1.58,Man,Strongly disagree
France,0.97,1.6,Man,Strongly agree
Germany,0.99,2.19,Woman,Neither agree nor disagree
France,1.01,1.67,Man,Strongly agree
France,0.97,1.59,Man,Neither agree nor disagree
Germany,1.04,2.32,Woman,Strongly agree
Spain,0.94,1.15,Man,Strongly disagree
Belgium,1.49,0.41,Man,Agree
Italy,1,1.62,Man,Disagree
Belgium,0.96,0.26,Man,Neither agree nor disagree
Belgium,0.98,0.27,Woman,Disagree
Spain,0.98,1.19,Woman,Strongly agree
Belgium,0.96,0.26,Woman,Strongly agree
Spain,0.86,1.05,Man,Disagree
United Kingdom,0.97,1.52,Woman,Agree
Belgium,1.01,0.28,Man,Neither agree nor disagree
United Kingdom,1,1.56,Man,Strongly disagree
United Kingdom,0.92,1.44,Woman,Agree
Poland,0.96,0.97,Man,Neither agree nor disagree
United Kingdom,1.02,1.6,Man,Strongly disagree
Italy,0.95,1.53,Man,Strongly disagree
Germany,1.01,2.23,Woman,Disagree
Poland,0.96,0.97,Woman,Disagree
Poland,1.03,1.04,Man,Strongly agree
Germany,0.93,2.07,Woman,Agree
Belgium,0.98,0.27,Woman,Neither agree nor disagree
Italy,0.99,1.61,Man,Disagree
Italy,1.03,1.66,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Strongly agree
France,0.99,1.63,Man,Disagree
Germany,1,2.21,Woman,Agree
Australia,1,,Woman,Agree
Poland,1.11,1.12,Man,Disagree
Spain,0.99,1.21,Man,Agree
Poland,1.03,1.04,Man,Disagree
Belgium,1.02,0.28,Man,Agree
Romania,1,0.54,Man,Agree
USA,0.98,,Man,Strongly disagree
Netherlands,0.97,0.4,Man,Strongly agree
Spain,0.94,1.14,Man,Strongly disagree
Spain,0.96,1.17,Man,Strongly disagree
France,0.94,1.55,Woman,Strongly disagree
Germany,1.07,2.37,Woman,Neither agree nor disagree
Netherlands,0.96,0.4,Woman,Neither agree nor disagree
Germany,1,2.23,Man,Disagree
Belgium,0.96,0.26,Man,Strongly disagree
Australia,1.12,,Man,Neither agree nor disagree
Spain,0.97,1.19,Man,Agree
Australia,0.98,,Woman,Strongly agree
Germany,1.09,2.42,Man,Neither agree nor disagree
Germany,1.02,2.27,Woman,Disagree
Australia,0.98,,Man,Disagree
Belgium,1.01,0.28,Man,Agree
France,1.09,1.79,Woman,Disagree
Italy,0.97,1.58,Man,Agree
USA,0.99,,Woman,Disagree
Belgium,0.99,0.27,Man,Strongly disagree
Italy,1.05,1.7,Woman,Strongly disagree
USA,0.94,,Man,Strongly disagree
Belgium,0.97,0.26,Woman,Neither agree nor disagree
Italy,1.05,1.7,Woman,Agree
United Kingdom,0.93,1.46,Man,Strongly disagree
United Kingdom,1.03,1.61,Woman,Agree
Netherlands,1.02,0.43,Woman,Agree
Spain,0.97,1.19,Woman,Disagree
Italy,1.01,1.64,Woman,Neither agree nor disagree
France,0.97,1.61,Woman,Agree
Poland,1.03,1.04,Woman,Agree
Poland,0.95,0.95,Man,Strongly disagree
United Kingdom,1.1,1.73,Woman,Agree
United Kingdom,0.98,1.53,Woman,Disagree
Germany,1,2.21,Man,Strongly disagree
USA,0.94,,Woman,Strongly disagree
Spain,0.94,1.14,Man,Strongly disagree
Australia,0.99,,Man,Disagree
Spain,1.12,1.37,Man,Disagree
Poland,1.03,1.04,Woman,Agree
Netherlands,1.1,0.46,Man,Agree
France,0.96,1.58,Woman,Strongly disagree
Poland,1.11,1.12,Man,Agree
Austria,1,0.2,Man,Neither agree nor disagree
Italy,1.04,1.69,Man,Neither agree nor disagree
Germany,1.02,2.27,Woman,Neither agree nor disagree
Poland,0.96,0.97,Woman,Strongly disagree
Australia,0.96,,Woman,Strongly disagree
Belgium,0.97,0.26,Woman,Strongly agree
United Kingdom,0.95,1.49,Woman,Disagree
Netherlands,0.94,0.4,Man,Neither agree nor disagree
United Kingdom,1.03,1.62,Man,Neither agree nor disagree
Spain,0.99,1.21,Woman,Neither agree nor disagree
Netherlands,1.03,0.43,Man,Neither agree nor disagree
France,0.94,1.55,Woman,Agree
Germany,0.98,2.19,Woman,Neither agree nor disagree
USA,0.94,,Woman,Disagree
Netherlands,1.02,0.43,Woman,Agree
France,0.96,1.58,Woman,Disagree
France,1.02,1.68,Woman,Strongly disagree
Netherlands,1.02,0.43,Man,Agree
Belgium,0.96,0.26,Woman,Strongly disagree
USA,0.99,,Woman,Disagree
Belgium,1.01,0.27,Man,Agree
Germany,1.05,2.34,Woman,Strongly agree
France,0.97,1.59,Man,Strongly agree
Australia,1,,Man,Disagree
Spain,1.02,1.24,Man,Agree
Poland,0.96,0.97,Man,Disagree
Italy,0.99,1.61,Woman,Agree
Poland,1.03,1.04,Man,Agree
USA,0.97,,Man,Strongly agree
Germany,0.87,1.92,Woman,Agree
Italy,1.03,1.66,Woman,Disagree
Australia,0.95,,Woman,Neither agree nor disagree
Germany,0.87,1.93,Woman,Disagree
Germany,1,2.22,Woman,Agree
Poland,0.96,0.97,Man,Agree
United Kingdom,1.02,1.6,Man,Neither agree nor disagree
United Kingdom,0.93,1.46,Man,Disagree
United Kingdom,0.98,1.54,Man,Disagree
Poland,1.02,1.03,Woman,Neither agree nor disagree
Netherlands,1.02,0.43,Woman,Neither agree nor disagree
Spain,1.02,1.25,Woman,Neither agree nor disagree
United Kingdom,1.13,1.77,Woman,Strongly disagree
Australia,0.95,,Woman,Strongly disagree
Australia,0.95,,Woman,Strongly disagree
Spain,1.07,1.31,Man,Neither agree nor disagree
Germany,0.98,2.18,Man,Disagree
France,0.96,1.59,Woman,Strongly agree
Italy,0.99,1.6,Man,Strongly disagree
Italy,1.02,1.64,Woman,Agree
Italy,0.98,1.58,Woman,Disagree
Netherlands,0.97,0.4,Man,Neither agree nor disagree
France,1.06,1.75,Woman,Strongly disagree
Australia,1.09,,Man,Disagree
Spain,0.94,1.15,Woman,Agree
Poland,1.02,1.03,Woman,Agree
Spain,0.99,1.21,Woman,Neither agree nor disagree
Poland,1,1.01,Woman,Disagree
Belgium,0.92,0.25,Woman,Agree
United Kingdom,0.96,1.51,Woman,Disagree
France,0.97,1.59,Woman,Agree
France,0.93,1.54,Woman,Strongly disagree
Germany,0.98,2.17,Woman,Neither agree nor disagree
Germany,0.98,2.18,Woman,Agree
Netherlands,1.01,0.42,Woman,Disagree
Australia,0.97,,Woman,Disagree
USA,0.97,,Man,Strongly agree
Australia,0.97,,Woman,Agree
Netherlands,0.99,0.41,Man,Neither agree nor disagree
Belgium,0.95,0.26,Woman,Neither agree nor disagree
Poland,0.96,0.97,Woman,Agree
Belgium,0.96,0.26,Woman,Disagree
Belgium,1.1,0.3,Man,Neither agree nor disagree
France,0.99,1.63,Man,Agree
United Kingdom,0.96,1.51,Woman,Disagree
United Kingdom,1.02,1.59,Man,Agree
Spain,0.95,1.16,Woman,Strongly disagree
Italy,0.89,1.44,Man,Strongly disagree
Spain,1.05,1.29,Man,Neither agree nor disagree
Australia,1.02,,Man,Disagree
Spain,0.97,1.19,Woman,Agree
Germany,0.87,1.93,Man,Strongly disagree
